"filename", "language", "Markdown", "Python", "JSON", "C++", "C", "CMake", "Log", "Rust", "CMake Cache", "YAML", "comment", "blank", "total"
"v:\vex_os\build\out\stage-loader-relative.log", "Log", 0, 0, 0, 0, 0, 0, 2005, 0, 0, 0, 0, 20, 2025
"v:\vex_os\build\out\stage-openroot.log", "Log", 0, 0, 0, 0, 0, 0, 2005, 0, 0, 0, 0, 20, 2025
"v:\vex_os\build\out\stage-root.log", "Log", 0, 0, 0, 0, 0, 0, 2005, 0, 0, 0, 0, 20, 2025
"v:\vex_os\build\out\stage-watchdog-fresh.log", "Log", 0, 0, 0, 0, 0, 0, 2378, 0, 0, 0, 0, 20, 2398
"v:\vex_os\build\out\stage-watchdog.log", "Log", 0, 0, 0, 0, 0, 0, 1431, 0, 0, 0, 0, 1, 1432
"v:\vex_os\build\out\verify-hub.log", "Log", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 5, 66
"v:\vex_os\build\qemu-debugcon.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\qemu-debugcon2.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\qemu-debugcon3.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\qemu-desktop.log", "Log", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 6, 70
"v:\vex_os\build\qemu-final.log", "Log", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 6, 67
"v:\vex_os\build\qemu-gfx.log", "Log", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 6, 70
"v:\vex_os\build\qemu-gui-final-serial.log", "Log", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 6, 61
"v:\vex_os\build\qemu-gui-serial.log", "Log", 0, 0, 0, 0, 0, 0, 1045, 0, 0, 0, 0, 96, 1141
"v:\vex_os\build\qemu-gui-stderr.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\qemu-gui-stdout.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
