Date : 2026-06-23 23:04:50
Directory : v:\vex_os
Total : 274 files,  2845979 codes, 135 comments, 2675 blanks, all 2848789 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C           |         56 |  2,806,139 |         68 |      1,276 |  2,807,483 |
| v:\vex_os\apps\init\desktop_session.h                                                                                                            | C++         |         97 |          0 |          8 |        105 |
| v:\vex_os\apps\init\desktop_shell_ui.c                                                                                                           | C           |        226 |          0 |          8 |        234 |
| v:\vex_os\apps\init\desktop_shell_ui.h                                                                                                           | C++         |         48 |          0 |          7 |         55 |
| v:\vex_os\apps\init\desktop_stage.c                                                                                                              | C           |        172 |          0 |          8 |        180 |
| v:\vex_os\apps\init\desktop_stage.h                                                                                                              | C++         |         60 |          0 |          9 |         69 |
| v:\vex_os\apps\init\desktop_views.c                                                                                                              | C           |        409 |          0 |         15 |        424 |
| v:\vex_os\apps\init\desktop_views.h                                                                                                              | C++         |         73 |          0 |          9 |         82 |
| v:\vex_os\apps\init\main.c                                                                                                                       | C           |      1,103 |          0 |         92 |      1,195 |
| v:\vex_os\apps\init\manifest.json                                                                                                                | JSON        |         15 |          0 |          1 |         16 |
| v:\vex_os\apps\init\vex_boot_info.h                                                                                                              | C++         |         81 |          0 |         11 |         92 |
| v:\vex_os\apps\init\vex_gpu_proto.h                                                                                                              | C++         |         62 |          0 |         11 |         73 |
| v:\vex_os\apps\init\vex_ui_proto.h                                                                                                               | C++         |         85 |          0 |         12 |         97 |
| v:\vex_os\apps\services\main.c                                                                                                                   | C           |        293 |          0 |         28 |        321 |
| v:\vex_os\apps\services\manifest.json                                                                                                            | JSON        |         15 |          0 |          1 |         16 |
| v:\vex_os\apps\terminal\main.c                                                                                                                   | C           |        134 |          0 |         13 |        147 |
| v:\vex_os\apps\terminal\manifest.json                                                                                                            | JSON        |         14 |          0 |          1 |         15 |
| v:\vex_os\apps\testcenter\main.c                                                                                                                 | C           |        182 |          0 |         16 |        198 |
| v:\vex_os\apps\testcenter\manifest.json                                                                                                          | JSON        |         14 |          0 |          1 |         15 |
| v:\vex_os\boot\loader\include\efi.h                                                                                                              | C++         |        331 |          0 |         28 |        359 |
| v:\vex_os\boot\loader\include\loader.h                                                                                                           | C++         |         56 |          0 |         13 |         69 |
| v:\vex_os\boot\loader\include\tweetnacl.h                                                                                                        | C++         |         10 |          0 |          3 |         13 |
| v:\vex_os\boot\loader\src\common.c                                                                                                               | C           |         32 |          0 |          6 |         38 |
| v:\vex_os\boot\loader\src\elf.c                                                                                                                  | C           |         72 |          0 |         13 |         85 |
| v:\vex_os\boot\loader\src\main.c                                                                                                                 | C           |        462 |          0 |         48 |        510 |
| v:\vex_os\boot\loader\src\package.c                                                                                                              | C           |        120 |          0 |         22 |        142 |
